Base Currency,Currency,Exchange Rate
ALL,SHP,0.00901
ALL,SLE,0.291728
ALL,SLL,291.727819
ALL,SOS,6.922152
ALL,SRD,0.461807
ALL,SSP,55.145019
ALL,STN,0.25304
ALL,SYP,133.671148
ALL,SZL,0.200963
ALL,THB,0.383584
ALL,TJS,0.111727
ALL,TMT,0.042473
ALL,TND,0.035025
ALL,TOP,0.029149
ALL,TRY,0.521286
ALL,TTD,0.08233
ALL,TVD,0.018141
ALL,TWD,0.380651
ALL,TZS,29.889343
ALL,UAH,0.51319
ALL,UGX,43.983571
ALL,USD,0.012142
ALL,UYU,0.475081
ALL,UZS,146.669992
ALL,VES,3.659293
ALL,VND,316.598764
ALL,VUV,1.456134
ALL,WST,0.033578
ALL,XAF,6.774829
ALL,XCD,0.032784
ALL,XCG,0.021734
ALL,XDR,0.008811
ALL,XOF,6.774829
ALL,XPF,1.23248
ALL,YER,2.890309
ALL,ZAR,0.200963
ALL,ZMW,0.268801
ALL,ZWG,0.315461
ALL,ZWL,0.315462
AMD,AMD,1
AMD,AED,0.009638
AMD,AFN,0.173238
AMD,ALL,0.21617
AMD,ANG,0.004698
AMD,AOA,2.410898
AMD,ARS,3.811337
AMD,AUD,0.00392
AMD,AWG,0.004698
AMD,AZN,0.004457
AMD,BAM,0.004366
AMD,BBD,0.005249
AMD,BDT,0.320712
AMD,BGN,0.004366
AMD,BHD,0.000987
AMD,BIF,7.763266
AMD,BMD,0.002624
AMD,BND,0.00337
AMD,BOB,0.018161
AMD,BRL,0.014358
AMD,BSD,0.002624
AMD,BTN,0.23563
AMD,BWP,0.03531
AMD,BYN,0.007661
AMD,BZD,0.005249
AMD,CAD,0.003592
AMD,CDF,5.981378
AMD,CHF,0.002079
AMD,CLF,6e-05
AMD,CLP,2.362832
AMD,CNH,0.018322
AMD,CNY,0.018373
AMD,COP,9.889036
AMD,CRC,1.302404
AMD,CUP,0.062986
AMD,CVE,0.246166
AMD,CZK,0.054081
AMD,DJF,0.466417
AMD,DKK,0.016655
AMD,DOP,0.165296
AMD,DZD,0.339777
AMD,EGP,0.125001
AMD,ERN,0.039367
AMD,ETB,0.407322
AMD,EUR,0.002233
AMD,FJD,0.005963
AMD,FKP,0.00195
AMD,FOK,0.016655
AMD,GBP,0.00195
AMD,GEL,0.007068
AMD,GGP,0.00195
AMD,GHS,0.027486
AMD,GIP,0.00195
AMD,GMD,0.192631
AMD,GNF,22.924364
AMD,GTQ,0.020113
AMD,GYD,0.54859
AMD,HKD,0.020405
AMD,HNL,0.069122
AMD,HRK,0.016821
AMD,HTG,0.343619
AMD,HUF,0.860882
AMD,IDR,44.5
AMD,ILS,0.008355
AMD,IMP,0.00195
AMD,INR,0.23563
AMD,IQD,3.436214
AMD,IRR,110.990425
AMD,ISK,0.328698
AMD,JEP,0.00195
AMD,JMD,0.416577
AMD,JOD,0.001861
AMD,JPY,0.41056
AMD,KES,0.338361
AMD,KGS,0.229266
AMD,KHR,10.517238
AMD,KID,0.00392
AMD,KMF,1.098317
AMD,KRW,3.784349
AMD,KWD,0.000806
AMD,KYD,0.002187
AMD,KZT,1.324944
AMD,LAK,56.831195
AMD,LBP,234.887023
AMD,LKR,0.812086
AMD,LRD,0.466105
AMD,LSL,0.043512
AMD,LYD,0.014179
AMD,MAD,0.023926
AMD,MDL,0.044016
AMD,MGA,12.001414
AMD,MKD,0.137705
AMD,MMK,5.512698
AMD,MNT,9.325838
AMD,MOP,0.021018
AMD,MRU,0.104473
AMD,MUR,0.121023
AMD,MVR,0.040543
AMD,MWK,4.548751
AMD,MXN,0.04722
AMD,MYR,0.010641
AMD,MZN,0.167618
AMD,NAD,0.043512
AMD,NGN,3.794642
AMD,NIO,0.096487
AMD,NOK,0.026375
AMD,NPR,0.377008
AMD,NZD,0.004543
AMD,OMR,0.001009
AMD,PAB,0.002624
AMD,PEN,0.00882
AMD,PGK,0.011166
AMD,PHP,0.154425
AMD,PKR,0.73822
AMD,PLN,0.009444
AMD,PYG,17.290759
AMD,QAR,0.009553
AMD,RON,0.011386
AMD,RSD,0.262229
AMD,RUB,0.210085
AMD,RWF,3.817785
AMD,SAR,0.009842
AMD,SBD,0.021396
AMD,SCR,0.037969
AMD,SDG,1.427019
AMD,SEK,0.024141
AMD,SGD,0.00337
AMD,SHP,0.00195
AMD,SLE,0.063069
AMD,SLL,63.068712
AMD,SOS,1.496365
AMD,SRD,0.099829
AMD,SSP,11.921816
AMD,STN,0.054696
AMD,SYP,28.856518
AMD,SZL,0.043512
AMD,THB,0.082654
AMD,TJS,0.0242
AMD,TMT,0.009178
AMD,TND,0.007577
AMD,TOP,0.006296
AMD,TRY,0.11259
AMD,TTD,0.017807
AMD,TVD,0.00392
AMD,TWD,0.082326
AMD,TZS,6.461193
AMD,UAH,0.111048
AMD,UGX,9.507945
AMD,USD,0.002624
AMD,UYU,0.102665
AMD,UZS,31.637334
AMD,VES,0.79093
AMD,VND,68.160505
AMD,VUV,0.31316
AMD,WST,0.007251
AMD,XAF,1.464423
AMD,XCD,0.007086
AMD,XCG,0.004698
AMD,XDR,0.001914
AMD,XOF,1.464423
AMD,XPF,0.266408
AMD,YER,0.625117
AMD,ZAR,0.043512
AMD,ZMW,0.058107
